tmc,f_d,n,f_p,s,ultimate_capacity_veh_hr_lane,free_flow_speed_mph,link_length_miles,t0_in_min,t1_in_min,t2_in_min,t3_in_min,queued_demand_factor,speed_at_capacity_mph,qvdf_alpha,qvdf_beta
TMC001,0.9818009358611662,1.0315648299896072,0.018741610586946227,4.1,1900,75.0,0.64,383.75,391.25,445.0,517.5,0.765497463070606,59.52753944880748,0.009270469916675544,4.229415802957389
TMC002,1.0537314256121288,0.9591108939916543,0.0214964588665273,4.1,1900,75.0,0.64,378.75,391.25,453.75,517.5,0.7917390479773708,59.52753944880748,0.014208831835866301,3.932354665365782
TMC003,1.0723494319373357,0.9624955244590284,0.016160324558897616,4.1,1900,75.0,0.86,371.25,382.5,451.25,527.5,0.8906151211189486,59.52753944880748,0.01147698313716146,3.9462316502820163
TMC004,0.9079670296797432,1.1048992616174393,0.012027241163526414,4.1,1900,75.0,0.78,366.25,380.0,451.25,525.0,0.9079456541478815,59.52753944880748,0.004317696081347784,4.5300869726315005
TMC005,1.032580481182417,0.9852098495191588,0.01756047070798706,4.1,1900,75.0,0.85,376.25,385.0,451.25,522.5,0.834880105353051,59.52753944880748,0.010681270594255828,4.0393603830285505
TMC006,0.9738378023357459,1.070442181399253,0.02119081746511248,4.1,1900,75.0,0.75,375.0,385.0,448.75,528.75,0.8758323095556506,59.52753944880748,0.010137750932128993,4.388812943736937
TMC007,0.8979653769150214,1.1250444282019665,0.01,4.535218078993219,1900,75.0,0.75,377.5,393.75,447.5,525.0,0.8443493141181946,59.52753944880748,0.0032735636045618474,5.102321830452147
TMC008,1.0000547767934285,1.0236027752690398,0.017320670769970015,4.1,1900,75.0,0.89,373.75,382.5,450.0,521.25,0.841177129833885,59.52753944880748,0.00923976589896304,4.196771378603063
TMC009,1.0738732973548637,0.9615316932137509,0.018632768642484757,4.1,1900,75.0,0.79,373.75,383.75,448.75,526.25,0.8694770723325439,59.52753944880748,0.013310169853674381,3.9422799421763783
TMC010,0.9799033429352614,1.026882438640066,0.01,4.82113294791389,1900,75.0,0.5,385.0,393.75,446.25,521.25,0.7807976523959752,59.52753944880748,0.004836063026979141,4.950736758561785
